unknown	Bacteroides_uniformis	[Ruminococcus]_obeum	Haemophilus_parainfluenzae	Eubacterium_rectale	Bacteroides_finegoldii	Ruminococcus_bromii	Pseudoflavonifractor_capillosus	Bacteroides_coprophilus	unclassified_Fusobacterium	Fusobacterium_periodonticum	Streptococcus_sanguinis	Enterococcus_faecalis	[Clostridium]_bartlettii	Dorea_formicigenerans	Faecalibacterium_prausnitzii	Klebsiella_variicola/pneumoniae	Clostridium_bolteae	Eggerthella_lenta	Streptococcus_anginosus	Streptococcus_sp._C150	Acidaminococcus_fermentans	Streptococcus_salivarius	Actinomyces_odontolyticus	Methanobrevibacter_smithii	Mitsuokella_multacida	Bacteroides_caccae	Desulfovibrio_piger	Streptococcus_gordonii	butyrate-producing_bacterium	[Ruminococcus]_torques	Citrobacter_sp._30_2	Prevotella_copri	Alistipes_sp._HGB5	Butyrivibrio_crossotus	Clostridium_leptum	Capnocytophaga_sp._oral_taxon_329	Escherichia_coli	Dialister_invisus	Rothia_mucilaginosa	Odoribacter_splanchnicus	Bifidobacterium_dentium	Holdemania_filiformis	Collinsella_aerofaciens	Coprococcus_catus	Alistipes_shahii	Streptococcus_parasanguinis	Bacteroides_fragilis	Bacteroides_coprocola	Megasphaera_micronuciformis	Eubacterium_biforme	[Ruminococcus]_gnavus	Streptococcus_thermophilus	Streptococcus_pneumoniae	Dorea_longicatena	Bifidobacterium_longum	Veillonella_atypica	Haemophilus_influenzae	Bacteroides_thetaiotaomicron	Klebsiella_oxytoca	Roseburia_hominis	Bacteroides_dorei/vulgatus	Streptococcus_oralis	Ruminococcus_lactaris	Megasphaera_elsdenii	Bacteroides_ovatus	Veillonella_parvula	Bilophila_wadsworthia	Ruminococcus_sp._SR1/5	Parabacteroides_distasonis	[Bacteroides]_pectinophilus	Eubacterium_ventriosum	Granulicatella_adiacens	Coprococcus_comes	Akkermansia_muciniphila	Enterococcus_casseliflavus	Bacteroides_eggerthii	Bacteroides_xylanisolvens	Streptococcus_vestibularis	Haemophilus_pittmaniae	Bacteroides_plebeius	Veillonella_sp._oral_taxon_158	Enterobacter_hormaechei/cloacae	Phascolarctobacterium_succinatutens	Bacteroides_stercoris	Eubacterium_eligens	Coprococcus_eutactus	Gemella_sanguinis	Eubacterium_siraeum	Veillonella_dispar	Bacteroides_clarus	Streptococcus_infantis	Roseburia_intestinalis	Parasutterella_excrementihominis	Anaerotruncus_colihominis	butyrate-producing_bacterium_SS3/4	Ruminococcaceae_bacterium_D16	Parabacteroides_merdae	Eubacterium_hallii	Streptococcus_australis	Bifidobacterium_adolescentis	Alistipes_putredinis	Clostridium_perfringens	Sutterella_wadsworthensis	Roseburia_inulinivorans	Ruminococcus_sp._5_1_39BFAA
9457	0.65812957	0.014528318	0.000494449	0.000133198	0.000155398	0	0.001648163	0.000148335	0	8.48e-05	0	0	0.000389908	0	0.000550957	0.003884248	0.005057505	8.48e-05	8.48e-05	0.000113017	0.000310796	0	0.004577183	0.000233097	0.003068408	0	0	0	0.000155398	0.000449242	0.000890008	0	8.48e-05	0.000550957	0.079083554	8.48e-05	0	0.000169525	0.015757377	0.000169525	0.006306341	0.000779816	8.48e-05	0.000800536	0.000593339	0.010275117	0.00154268	0.00408556	0	0.000226034	0	0	0.003916034	0.000211907	0.000652672	8.48e-05	0.00161049	0	0.000890008	0.007340446	9.69e-05	0.040544802	0	0.004882329	0	0.001985868	0.001662652	0.000873055	0.000169525	0.005094235	0.007120063	8.48e-05	8.48e-05	0.000242179	0	0	0	0.001051057	0.000520685	0	0	0.00031786	0.00056791	0	0.000357887	0.041270935	0.014248602	0.000113017	0.023733542	0.00063572	0	0.00013562	0.000127144	0.001457918	0	0.000957818	0.000406861	0	0.001084962	0.000169525	0.000254288	0.017410249	0.000180121	0	0.001551157	0.000133198
9446	0.70386717	0.009419295	0.001666693	0.000140545	0.004342826	0	0.002698455	0.00025298	0	0	0	0	8.43e-05	0	0.00025298	0.002228334	0.00391736	0.000168653	0.00012649	0	0	0	0.000274062	0.0001807	0.003094791	0	0	0	0	0.001922649	0.000927594	0.000358389	0.000271719	0.009284372	0	8.43e-05	0	0.068396637	0.000271719	8.43e-05	0.004427153	0	0.000147572	0.001480402	0.000548124	0.008020408	8.43e-05	0.002791214	0	0	0	0	0.000234241	0	0.000440373	0	0.00025298	0	0.000809537	0.000480662	0.000221358	0.055816623	0	0.01113956	0	0.000987827	0.000544291	0.00145042	0.000147572	0.005228257	0.007075012	0	0	0.00025298	0.017523093	0	0	0.000562178	0	0	0	8.43e-05	0.000442715	0	0.00034574	0.006482617	0	0	0.003752539	0.000269846	0	0	0.000182708	0.001509448	8.43e-05	0.003668212	0.000224871	0.015537198	0.000531258	0	0	0.029236074	0	0	0.000716777	0.001947947
9447	0.212088793	0.022209213	0.000305155	0.000216999	0.006707316	0.000922248	0.000840873	7.12e-05	0	0	0	0	0	6.1e-05	0.000555383	0.008192961	0.000101718	0.000408908	0	0	0	0.005498901	0.000122062	0	0	0	0.007384762	0	0	0.000860538	0.004487391	0	0.45099532	0.000268537	0	0	0.006310614	0	0	0	0.002105572	0	0.000175464	0.000622517	0.000175464	0.00038653	7.63e-05	0	0	0	0.004455269	0.003326194	0.000488249	0	0	6.1e-05	0	0	0.004565125	0	0.005028962	0.100227129	0	6.1e-05	0.000454343	0.000950341	0	0.003021039	0.000526393	0.006326889	0	0.000350929	0	0.001037528	0	0	0	0.001785159	0	0	0	0	0	0	0.017210766	0.08051221	0.003326194	0	0.00127555	6.1e-05	0.002514481	0	0.001048625	0.000122062	0.000122062	7.12e-05	0.000142406	0.010466831	0.000250227	0	0.000976497	0.009746665	0	0.000244124	0.005718613	0.001373199
9458	0.308494232	0.02211476	0.000145128	0.000163269	8.16e-05	0.006721233	8.16e-05	0.000299326	0	0	0	0	0	0.000930632	0.001608198	0.001591871	0.004147028	0.000217692	0	0	0.000291551	0.009600206	0.00574162	0	0	0	0.002416378	0	0.000108846	0.000122452	0.004362905	0	0.340431796	0.004538873	0	8.16e-05	0.002644955	0.003926615	8.16e-05	0	0.013069668	9.52e-05	8.16e-05	0.00382049	0.00049797	0.003483068	0.001112806	0	0	0	0.001387785	0	0.000767363	0.000272115	0.00099594	0	0.002945641	0	0.01243292	0	0.001371458	0.061314241	0.000114288	0	0.00434295	0.002530667	0.00232972	0.001346968	0.000295925	0.015619383	0	0.000310211	0	0.002712076	0.030972093	0	0	0.007132806	0.001282826	0	0	0.000489806	0.000186593	0	0.014849298	0.00201637	0.00130615	0	8.16e-05	0.000952401	0.000555114	0.000326538	0.000139945	0.000128283	0.000116621	0.009069582	0.000163269	0.011877806	0.000848998	0	0.00204086	0.050678639	0.000253067	0.005722572	0.001649015	0.002963329
9459	0.283736999	0.004070905	8.19e-05	0.002896088	0.000191122	0.000336739	0	8.19e-05	0	0.000245729	0	0.00017552	0.000391346	0	0.002080503	0.000136516	0.014136225	0.001343317	0	0.0002116	0.004996483	0.027726387	0.035521446	8.19e-05	0	0	0.001875729	0	0.00034402	0.000500558	0.012878003	0.000204774	0.071556193	0.001720101	0	0	0.001687337	0.116937068	0	0.000102387	0.001105779	0.000466885	0	0.000999297	0.000163819	0.002166053	0.00617052	0	0	0.000364042	0.00094196	0	0.001790309	0.00068804	0.000136516	0.000311256	0.031505396	0.000327638	0.012663218	0.002793116	8.19e-05	0.161969332	0.000532412	0.000499648	0.014072063	0.001872219	0.045428303	0.009378645	0.00025938	0.019722002	0	8.19e-05	0.00015358	0.000373144	0.032755634	0	0	0.002651822	0.003358292	0.000450503	0	0.003737124	0.002694825	0	0.010287841	8.19e-05	0	0.000196583	0	0.01516497	0.001130352	0.000635774	8.19e-05	0	0	0	0	0.00299789	0.000163819	0.000464154	0.000229347	0.01010764	0.005594423	0.000319447	0.000122864	0.003505729
9448	0.402526251	0.003256201	0.000260268	0.00084442	0.007355835	0	0.000769113	6.91e-05	0	0	0	6.91e-05	0	0.000103701	0.000815779	0.013901076	0	6.91e-05	0	0	0.000230446	0	0.005156228	6.91e-05	0	0.005675884	0.0009817	0	9.68e-05	0.000193575	0.001520943	0	0.40447412	0.001451809	0	8.64e-05	0.003290768	0.000221228	0	8.07e-05	0.002412769	0	8.64e-05	0.001382676	0.00049085	0.001244408	0.001261692	0	0	0	0.001797478	0	0.000525417	0.000138268	0.001673038	6.91e-05	0.000153631	0	0.00251647	0	0.010376981	0.01358213	0.000115223	0.010294021	0	0.000385174	0.000729047	0.00149329	0.000576115	0.00626813	0.002627084	0	0	0.001482536	0.001182956	0	0.000284217	0.001123424	0.000681462	0	0	6.91e-05	0	0.021731053	6.91e-05	0.022337126	0.000967873	6.91e-05	0.015831637	0.000172834	0	0.000190118	0.001832045	0	0	0.000435543	0	0.005579096	0.000947133	0.000259252	0.000580724	0.003055713	0	0.001776738	0.004002846	0.001569337
9449	0.447544449	0.008114047	0.000208821	0.000228795	0.000629186	0	0.003123232	0	0	0.001521895	8.17e-05	0	0.000972378	0	0.000686385	0.003199043	0.182643687	0.000163425	0	9.81e-05	0	0	0.001054834	8.17e-05	0	0	0.005172399	0	8.17e-05	0.000194067	0.006046722	0.001644463	0.073859891	0.00924985	0	0	0.018417988	0.012368295	0	0	0.004543213	0	0	0.002345148	0.001503509	0.001942941	0.00061868	0	0	0	0.002369661	0	0	0.000147082	0.001397283	0.000245137	0.000318679	0	0.008596151	0.000116732	0.005728043	0.068179618	0	0.028509477	0	0.000102141	0.00026148	0.002843594	0.000671858	0.008425462	0	0	8.17e-05	0.001089499	0.007072667	0.000154346	0.000580158	0.000571987	8.17e-05	0	0	0.000136187	0	0.019075319	0.000147082	0.012158814	0	8.17e-05	0.015223031	0.000367706	0	0.000163425	0.00013074	0	0.000833467	0.000367706	0	0.007950622	0.000302336	0.000163425	0.00013074	0.001944757	0.000172504	0.002868107	0.008563466	0.003333868
9450	0.324029238	0.070146096	0.000469404	0	0	0	0	0	0	0	7.44e-05	0	0	0	0.000803711	0.011179395	0.000111627	0.000136432	9.92e-05	0	0	0	0.000111627	7.44e-05	0	0	0.038972534	0	0	0.009339418	0.010998932	0	0.00037953	0.00218788	0	0.000178602	0	0	0	0	0.002932056	0	0.000543249	0.000498598	0.0005879	0.004200464	0	0.050581691	0	0	0.012241707	0.0004217	0.000148835	0	0.002515317	0	0.000111627	0	0.009532904	0	0	0.129778216	7.44e-05	0	0	0.008845072	7.44e-05	0.000744177	0.002579813	0.009103762	0	0.000647434	7.44e-05	0.002091963	0	0	0	0.006623173	0	0	0	9.3e-05	0	0.025657559	0.201575144	0	0	0	0.00256741	9.3e-05	0	0	0	0.000260462	0	0.001354402	0	0.015404458	0.001674398	0	0.000119068	0.001771141	0	0.00484459	0.023664819	0.006675265
9452	0.379712774	0.013444678	0.001018536	0	0	0	0	0	0	0.000119828	0.000167759	0	0	0	0.001030519	0.00247539	0.00025297	0.000346169	0	0.000119828	0	0	0.001187384	0.000179742	0	0	0.000766898	0	0	0.006135183	0.000119828	0	0.29672956	0.004960871	0	0.000119828	0.012078641	0.06739115	0.000119828	0	0.015230112	0	0	0.000332855	0.002049055	0.026428685	0.000539225	0	0	0.000239656	0.001371363	0.000179742	0.000119828	0.000359483	0.003067591	0	0.000549211	0	0.016632097	0	0.002204831	0.033521825	0	0.000119828	0	0.007343732	0.000239656	0.001869314	0.000985251	0.014583042	0	0.000319541	0	0.000674031	0	0	0	0.012027715	0.000119828	0	0	0.000464333	0	0.008081719	0.006578546	0	0	0.00021569	0	0.000599139	0.002192849	0.000311552	0	0.000748924	0.000119828	0.003498972	0.000119828	0.001437933	0.001018536	0.000239656	0	0.017854341	0.000199713	0.020730208	0.002540349	0.003463023
9451	0.642025737	0.032933331	0.000771196	0	0	0	0	0	0	0.000217238	0.000108619	0	0	0	0.000716886	0.002343541	0.000423615	0.000271548	0	0	0.000108619	0	0.000691213	0.000162929	0.000108619	0	0.000662577	0.013718601	0	0.000760334	0	0	0.123228444	0.004920448	0	0.000337926	0.000325857	0.05808953	0.000173791	0.000190084	0.002226693	0	0	0.001889973	0.000369305	0.019382487	0.00049837	0.000144826	0	0.000144826	0.002650308	0	0.000108619	0	0.002313588	0	0.000642663	0	0.0039646	0	0.002433069	0.00560642	0	0	0	0.001381015	0.000372409	0.001422911	0.005648197	0.012632409	0	0	0.000135774	0.000403443	0	0	0	0.004331189	0.000108619	0	0	0.000719602	0	0.001037916	0.008179023	0.003888566	0.000271548	0.000170687	0	0.001443083	0.000135774	0.000176506	0.000181032	0.002268934	0.000238962	0.002215831	0	0.005789402	0.000253445	0.000181032	0	0.000434477	0	0.01898663	0.000108619	0.001216535
9468	0.457518708	0.143450997	0.001117419	0.000153538	0.015515063	0.000345462	0	0.000102359	0	0	0	0	0	9.6e-05	0.000324137	0.010476981	0	9.6e-05	0.000102359	0	0	0	0.000244266	7.68e-05	0	0	0.000115154	0	0	0.006471647	0.001490939	0	0.000168892	0	0	0.000175473	0	0.00018644	0	0	0	0	0.000143942	0.002088123	0.000752339	0	0.000134346	0	0	0	0.001842462	7.68e-05	0.000153538	0	0.003516031	0.000446657	0	0	0.011024063	0	0.001328108	0.162082891	0	0.009373524	0	0.002796594	7.68e-05	0.004299077	0.002959881	0.004768223	0	0.002625508	0	0.004179658	0	0	0	0.006822866	0	0	0	8.96e-05	0	0	0	0	0	7.68e-05	0.019192309	7.68e-05	0	7.68e-05	0.00235193	0.001646274	0.000162068	0.000230308	0	0.026439325	0.001504677	0	0.000810342	0.074082314	0	0	0.001134479	0.012405909
9453	0.347994127	0.021316407	0.014866363	0.000613991	0	0.000231298	0	0	0	9.25e-05	0.000231298	0.000335382	0.001656092	0	0.001397039	0.002738066	0.102557453	9.25e-05	0.000171821	0.000531985	0.000277557	0	0.012548958	0.001045466	0	0	0	0	0.000263324	0.002386993	0.019185545	0.003527292	0.000249802	0	0	0.002581284	0	0.116994642	0.000860428	0.000393206	0	0	0.001147237	0.011167059	0.003376948	0	0.002907744	0.001174993	0	0	0.014741381	9.25e-05	0.001141069	0.000154199	0.019762086	0.009748152	0.001580535	0	0.015552465	0	0.015034358	0.02481363	0.000398544	0.085543186	0	0.00226011	0.003415498	0.000342321	0.003361528	0.004965193	0	0.002442505	0.00049729	0.030387394	9.25e-05	0.00020186	0	0.006707637	0.001361353	0	0	0.002717749	0	9.25e-05	0	0	0	0.001230504	0.003136398	0.000964842	0	0.000429766	0	0.000123359	0.000249802	0.000113079	0	0.00570843	0.009696005	0.001415543	0	0.017597138	0	0	0.01485446	0.022158331
9460	0.314825574	0.123120799	0.000250316	0.000104971	0.000409388	0	0.040670534	0.000866013	0	0	0	0	0	0.001238661	0.000503862	0.041015773	0.000577342	0	0.000233269	0	0.001600812	0	0.000389893	0	0	0	0	0	0.000104971	0.000829273	0.000651927	0	0.000157457	0	0.000104971	0.000223064	0.038608432	0.006565476	0.005962368	0	0	0	0.000164955	0.002297704	0	0	0.000262428	0.002204397	0	0	0	0.000244933	0	0	0.007757377	0.005290552	0.000139962	0	0.004534759	0.000104971	0.00120717	0.234077178	0	0.001217667	0	0	0.000104971	0.002508813	0.000828107	0.003370744	0	0.001553575	0	0.016223893	0.000431549	0	0	0.011494354	0.000104971	0	0	0	0	0	0	0.005017627	0	0	0.001396118	0.000157457	0	0.000104971	0.012713187	0	0	0.001385621	0.000583174	0.007736382	0.001501089	0	0	0	0.000104971	0.003086155	0.084123974	0.006949098
